UART Serial read,40:42.3,UART Serial ready,,,,,
Timestamp,40:42.3,Event,LeftIndicator,RightIndicator,Hazard,LeftButton,RightButton
85209,42:07.0,STATUS_UPDATE,1,0,0,1,0
86209,42:08.0,STATUS_UPDATE,1,0,0,1,0
86371,42:08.2,LEFT_INDICATOR_OFF,0,0,0,1,0
86375,42:08.2,LEFT_BUTTON_PRESSED,0,0,0,0,0
86468,42:08.3,LEFT_BUTTON_PRESSED,0,0,0,1,0
87209,42:09.0,STATUS_UPDATE,0,0,0,0,0
88209,42:10.0,STATUS_UPDATE,0,0,0,0,0
89209,42:11.0,STATUS_UPDATE,0,0,0,0,0
90209,42:12.0,STATUS_UPDATE,0,0,0,0,0
91209,42:13.0,STATUS_UPDATE,0,0,0,0,0
92209,42:14.0,STATUS_UPDATE,0,0,0,0,0
93209,42:15.0,STATUS_UPDATE,0,0,0,0,0
94209,42:16.0,STATUS_UPDATE,0,0,0,0,0
95209,42:17.0,STATUS_UPDATE,0,0,0,0,0
95411,42:17.2,RIGHT_BUTTON_PRESSED,0,0,0,0,1
95464,42:17.3,BOTH_BUTTONS_PRESSED,0,0,0,1,1
96209,42:18.0,STATUS_UPDATE,0,0,0,1,1
97209,42:19.0,STATUS_UPDATE,0,0,0,1,1
98209,42:20.0,STATUS_UPDATE,0,0,0,1,1
99209,42:21.0,STATUS_UPDATE,0,0,0,1,1
100209,42:22.0,STATUS_UPDATE,0,0,0,1,1
101209,42:23.0,STATUS_UPDATE,0,0,0,1,1
101485,42:23.3,BOTH_BUTTONS_HELD,0,0,0,1,0
101488,42:23.3,LEFT_BUTTON_PRESSED,0,0,0,1,0
101491,42:23.3,HAZARD_LIGHTS_ACTIVATED,1,1,1,1,0
102209,42:24.0,STATUS_UPDATE,1,1,1,0,0
103209,42:25.0,STATUS_UPDATE,1,1,1,0,0
104209,42:26.0,STATUS_UPDATE,1,1,1,0,0
105209,42:27.0,STATUS_UPDATE,1,1,1,0,0
106209,42:28.0,STATUS_UPDATE,1,1,1,0,0
107209,42:29.0,STATUS_UPDATE,1,1,1,0,0
108209,42:30.0,STATUS_UPDATE,1,1,1,0,0
109209,42:31.0,STATUS_UPDATE,1,1,1,0,0
110209,42:32.0,STATUS_UPDATE,1,1,1,0,0
111209,42:33.0,STATUS_UPDATE,1,1,1,0,0
112209,42:34.0,STATUS_UPDATE,1,1,1,0,0
113209,42:35.0,STATUS_UPDATE,1,1,1,0,0
114209,42:36.0,STATUS_UPDATE,1,1,1,0,0
115209,42:37.0,STATUS_UPDATE,1,1,1,0,0
116209,42:38.0,STATUS_UPDATE,1,1,1,0,0
117209,42:39.0,STATUS_UPDATE,1,1,1,0,0
118209,42:40.0,STATUS_UPDATE,1,1,1,0,0
119209,42:41.0,STATUS_UPDATE,1,1,1,0,0
120209,42:42.0,STATUS_UPDATE,1,1,1,0,0
121209,42:43.0,STATUS_UPDATE,1,1,1,0,0
122209,42:44.0,STATUS_UPDATE,1,1,1,0,0
